,Line,English name,Russian name,Coordinates,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
223,13,Timiryazevskaya,Тимирязевская,"55.8190,37.5789",8,19,0,22,6,30,67,33,81,24
224,13,Ulitsa Milashenkova,Улица Милашенкова,"55.8218,37.5911",6,23,0,36,7,23,77,34,75,20
225,13,Teletsentr,Телецентр,"55.8218,37.6089",6,17,0,46,5,28,72,15,37,13
226,13,Ulitsa Akademika Korolyova,Улица Академика Королёва,"55.8218,37.6269",17,16,0,52,7,24,89,21,56,17
227,13,Vystavochny Tsentr,Выставочный центр,"55.8240,37.6383",22,38,0,64,10,30,82,23,64,33
228,13,Ulitsa Sergeya Eyzenshteyna,Улица Сергея Эйзенштейна,"55.8292,37.6449",25,54,0,66,5,39,79,16,53,26
229,14,Okruzhnaya,Окружная,"55.8472,37.5694",4,12,0,30,5,10,57,11,41,29
230,14,Vladykino,Владыкино,"55.8476,37.5930",5,7,0,25,4,7,48,2,38,16
231,14,Botanichesky Sad,Ботанический сад,"55.8460,37.6413",3,10,2,22,4,27,58,11,41,12
232,14,Rostokino,Ростокино,"55.8400,37.6653",5,7,1,28,5,13,59,10,111,13
233,14,Belokamennaya,Белокаменная,"55.8300,37.7006",0,4,0,3,1,3,0,1,1,4
234,14,Bulvar Rokossovskogo,Бульвар Рокоссовского,"55.8172,37.7369",4,6,0,9,5,4,40,4,50,9
235,14,Lokomotiv,Локомотив,"55.8039,37.7460",5,36,0,12,4,19,40,7,38,10
236,14,Izmaylovo,Измайлово,"55.7886,37.7428",13,16,0,49,9,25,62,14,53,17
237,14,Sokolinaya Gora,Соколиная гора,"55.7714,37.7451",5,14,0,16,0,16,35,6,23,5
238,14,Shosse Entuziastov,Шоссе Энтузиастов,"55.7590,37.7463",5,10,0,28,4,15,49,9,55,11
239,14,Andronovka,Андроновка,"55.7411,37.7344",2,10,0,10,5,1,37,2,16,12
240,14,Nizhegorodskaya,Нижегородская,"55.7322,37.7282",6,16,0,22,4,9,43,6,60,11
241,14,Novokhokhlovskaya,Новохохловская,"55.7239,37.7161",7,6,0,13,4,1,59,4,20,7
242,14,Ugreshskaya,Угрешская,"55.7183,37.6978",9,15,0,29,7,9,57,1,42,5
243,14,Dubrovka,Дубровка,"55.7183,37.6978",9,15,0,29,7,9,57,1,42,5
244,14,Avtozavodskaya,Автозаводская,"55.7063,37.6631",14,21,0,67,17,33,103,21,94,16
245,14,ZIL,ЗИЛ,"55.6983,37.6483",7,17,0,29,10,18,40,4,28,5
246,14,Verkhnie Kotly,Верхние Котлы,"55.6900,37.6189",8,10,0,33,4,23,72,10,46,20
247,14,Krymskaya,Крымская,"55.6900,37.6050",6,6,0,30,9,18,47,17,73,15
248,14,Ploshchad Gagarina,Площадь Гагарина,"55.7069,37.5858",13,18,1,51,8,29,95,21,123,18
249,14,Luzhniki,Лужники,"55.7203,37.5631",10,31,1,59,4,63,88,25,66,19
250,14,Kutuzovskaya,Кутузовская,"55.7408,37.5333",17,29,0,76,13,34,144,26,106,27
251,14,Delovoy Tsentr,Деловой центр,"55.7472,37.5322",19,32,0,73,15,35,152,19,131,36
252,14,Shelepikha,Шелепиха,"55.7575,37.5256",2,23,0,21,5,7,66,16,48,13
253,14,Khoroshyovo,Хорошёво,"55.7772,37.5072",4,14,0,19,9,14,62,14,64,23
254,14,Zorge,Зорге,"55.7878,37.5045",10,10,0,28,8,25,67,24,67,11
255,14,Panfilovskaya,Панфиловская,"55.7991,37.4988",13,43,0,46,18,32,82,30,79,21
256,14,Streshnevo,Стрешнево,"55.8136,37.4869",6,42,0,27,4,31,66,13,57,19
257,14,Baltiyskaya,Балтийская,"55.8258,37.4961",8,11,0,58,5,36,93,16,147,12
258,14,Koptevo,Коптево,"55.8397,37.5203",4,36,0,16,4,11,51,6,30,14
259,14,Likhobory,Лихоборы,"55.8472,37.5513",5,15,0,8,3,9,32,12,26,10
260,15,Kosino,Косино,"55.7033,37.8511",3,6,0,15,6,10,40,14,54,10
